@relation GHC_original-weka.filters.unsupervised.attribute.NumericToNominal-R18

@attribute ' forum_id' numeric
@attribute ' posted_time' numeric
@attribute ' deleted' numeric
@attribute ' approved' numeric
@attribute ' unresolved' numeric
@attribute ' anonymous' numeric
@attribute ' title_has_lecture' numeric
@attribute ' title_has_quiz_assignment_grade_project' numeric
@attribute ' posts_count_request' numeric
@attribute ' posts_count_thanks' numeric
@attribute ' posts_countLogistics' numeric
@attribute ' posts_count_problems' numeric
@attribute ' meanposttimes' numeric
@attribute ' varposttimes' numeric
@attribute ' meanDiffFromLandmarks' numeric
@attribute ' numStudentOnlyPostsVotes' numeric
@attribute ' last_updated_time_StudentPostsOnly' numeric
@attribute instructor_replied {0,1}
@attribute ' numStudentPostsOnly' numeric

@data
2,1366501755,0,0,0,1,0,0,0,0,0,0,1370000000,28200000000,155272.5484,16,1370000000,0,31
7,1366502409,0,0,1,1,0,0,0,0,0,0,1370000000,0,104900,0,1370000000,1,1
12,1366503108,0,0,0,0,0,0,0,0,0.25,0,1370000000,379029.6875,106383.75,6,1370000000,0,4
12,1366503770,0,0,0,0,0,0,0,0,0.5,0,1370000000,318096,106825,2,1370000000,0,2
12,1366504116,0,0,0,0,0,0,0,0,0,0,1370000000,0,106607,1,1370000000,0,1
12,1366504131,0,0,0,0,0,0,0,0.1875,0.375,0,1370000000,37100000000,119425.0625,49,1370000000,0,16
12,1366504851,0,0,0,0,0,0,0,0,0.027027,0,1370000000,26000000000,208877.4595,52,1370000000,0,37
12,1366505067,0,0,0,0,0,0,0,0,0,0,1370000000,643000000,132920,0,1370000000,0,2
12,1366505374,0,0,0,0,0,0,0,0,0,0,1370000000,0,107865,0,1370000000,0,1
12,1366505717,0,0,0,0,0,0,0,0,0,0,1370000000,0,108208,0,1370000000,0,1
12,1366505912,0,0,0,0,0,0,0,0,0,0,1370000000,601000000,132924.5,1,1370000000,0,2
12,1366506132,0,0,0,0,0,0,0,0,0,0,1370000000,0,108623,0,1370000000,0,1
2,1366506456,0,0,0,0,0,0,0.088235,0.323529,0.205882,0.058824,1370000000,303000000000,170677.9706,101,1370000000,0,34
12,1366506487,0,0,0,0,0,0,0,0,0,0,1370000000,0,108978,0,1370000000,0,1
12,1366507048,0,0,0,0,0,0,0,0.2,0,0,1370000000,394000000,149229.6,0,1370000000,0,5
12,1366507330,0,0,0,0,0,0,0,0,0,0,1370000000,136000000,121480.5,0,1370000000,0,2
12,1366507632,0,0,0,0,0,0,0,0,1,0,1370000000,0,110123,1,1370000000,0,1
12,1366508006,0,0,0,0,0,0,0,0.166667,0,0,1370000000,8127818.139,116653.8333,6,1370000000,0,6
12,1366508014,0,0,0,0,0,0,0,0,0,0,1370000000,0,110505,1,1370000000,0,1
4,1366508927,0,0,0,0,0,0,0.551724,0.241379,0.017241,0,1370000000,454000000000,172615.2069,-45,1370000000,0,58
12,1366509188,0,0,0,0,0,0,0,0,0,0,1370000000,0,111679,0,1370000000,0,1
