 forum_id, posted_time, deleted, approved, unresolved, anonymous, title_has_lecture, title_has_quiz_assignment_grade_project, posts_count_request, posts_count_thanks, posts_countLogistics, posts_count_problems, meanposttimes, varposttimes, meanDiffFromLandmarks, numStudentOnlyPostsVotes, last_updated_time_StudentPostsOnly,instructor_replied, numStudentPostsOnly
2,1366501755,0,0,0,1,0,0,0,0,0,0,1.37E+09,2.82E+10,155272.5484,16,1.37E+09,0,31
7,1366502409,0,0,1,1,0,0,0,0,0,0,1.37E+09,0,104900,0,1.37E+09,1,1
12,1366503108,0,0,0,0,0,0,0,0,0.25,0,1.37E+09,379029.6875,106383.75,6,1.37E+09,0,4
12,1366503770,0,0,0,0,0,0,0,0,0.5,0,1.37E+09,318096,106825,2,1.37E+09,0,2
12,1366504116,0,0,0,0,0,0,0,0,0,0,1.37E+09,0,106607,1,1.37E+09,0,1
12,1366504131,0,0,0,0,0,0,0,0.1875,0.375,0,1.37E+09,3.71E+10,119425.0625,49,1.37E+09,0,16
12,1366504851,0,0,0,0,0,0,0,0,0.027027027,0,1.37E+09,2.60E+10,208877.4595,52,1.37E+09,0,37
12,1366505067,0,0,0,0,0,0,0,0,0,0,1.37E+09,6.43E+08,132920,0,1.37E+09,0,2
12,1366505374,0,0,0,0,0,0,0,0,0,0,1.37E+09,0,107865,0,1.37E+09,0,1
12,1366505717,0,0,0,0,0,0,0,0,0,0,1.37E+09,0,108208,0,1.37E+09,0,1
12,1366505912,0,0,0,0,0,0,0,0,0,0,1.37E+09,6.01E+08,132924.5,1,1.37E+09,0,2
12,1366506132,0,0,0,0,0,0,0,0,0,0,1.37E+09,0,108623,0,1.37E+09,0,1
2,1366506456,0,0,0,0,0,0,0.088235294,0.323529412,0.205882353,0.058823529,1.37E+09,3.03E+11,170677.9706,101,1.37E+09,0,34
12,1366506487,0,0,0,0,0,0,0,0,0,0,1.37E+09,0,108978,0,1.37E+09,0,1
12,1366507048,0,0,0,0,0,0,0,0.2,0,0,1.37E+09,3.94E+08,149229.6,0,1.37E+09,0,5
12,1366507330,0,0,0,0,0,0,0,0,0,0,1.37E+09,1.36E+08,121480.5,0,1.37E+09,0,2
12,1366507632,0,0,0,0,0,0,0,0,1,0,1.37E+09,0,110123,1,1.37E+09,0,1
12,1366508006,0,0,0,0,0,0,0,0.166666667,0,0,1.37E+09,8127818.139,116653.8333,6,1.37E+09,0,6
12,1366508014,0,0,0,0,0,0,0,0,0,0,1.37E+09,0,110505,1,1.37E+09,0,1
4,1366508927,0,0,0,0,0,0,0.551724138,0.24137931,0.017241379,0,1.37E+09,4.54E+11,172615.2069,-45,1.37E+09,0,58
12,1366509188,0,0,0,0,0,0,0,0,0,0,1.37E+09,0,111679,0,1.37E+09,0,1
3,1366509475,0,0,1,0,0,0,0,0,1,0,1.37E+09,0,111966,1,1.37E+09,1,1
12,1366509747,0,0,0,0,0,0,0,0,0,0,1.37E+09,0,112238,1,1.37E+09,0,1
12,1366510214,0,0,0,0,0,0,0,0,1,0,1.37E+09,0,112705,0,1.37E+09,0,1
4,1366510428,0,0,0,0,0,0,0,0.166666667,0,0,1.37E+09,1.27E+10,161573.3333,1,1.37E+09,0,6
