@relation GHC_80_upsampled-weka.filters.unsupervised.attribute.NumericToNominal-R18

@attribute v0 numeric
@attribute v1 numeric
@attribute v2 numeric
@attribute v3 numeric
@attribute v4 numeric
@attribute v5 numeric
@attribute v6 numeric
@attribute v7 numeric
@attribute v8 numeric
@attribute v9 numeric
@attribute v10 numeric
@attribute v11 numeric
@attribute v12 numeric
@attribute v13 numeric
@attribute v14 numeric
@attribute v15 numeric
@attribute v16 numeric
@attribute v17 {0,1}
@attribute v18 numeric

@data
2,1370000000,0,0,0,0,0,0,0,0,0,0,1370000000,0,122408,1,1370000000,0,1
2,1370000000,0,0,0,0,0,0,0,0.666667,0,0,1370000000,2600000000,147144,1,1370000000,0,3
12,1370000000,0,0,0,0,0,0,0,0,0,0,1370000000,0,54242,0,1370000000,0,1
7,1370000000,0,0,1,0,1,0,0,0,1,0.5,1370000000,98700000000,172246,0,1370000000,0,2
17,1370000000,0,0,0,0,0,1,0,0,4,0,1370000000,0,195851,1,1370000000,0,1
9,1370000000,0,0,1,0,0,0,0,0,0,0,1370000000,49100000000,141689.6667,0,1370000000,0,3
15,1370000000,0,0,0,0,0,0,0,0,0,0,1370000000,0,137480,0,1370000000,0,1
14,1370000000,0,0,0,1,1,0,0.25,0.75,1.5,0,1370000000,2440000000,54441.25,1,1370000000,0,4
16,1370000000,0,0,0,0,0,0,0,0,0,0,1370000000,0,90803,0,1370000000,0,1
12,1370000000,0,0,0,0,0,0,0,0,0,0,1370000000,0,248628,0,1370000000,0,1
14,1370000000,0,0,0,0,1,0,0,0.142857,1.857143,0,1370000000,134000000000,184674.8571,0,1370000000,0,7
12,1370000000,0,0,0,0,0,0,0,0,0.333333,0,1370000000,2530000000,217690.5556,0,1370000000,0,9
2,1370000000,0,0,0,0,0,0,0,0,0.4,0.6,1370000000,15000000,29245.4,1,1370000000,0,5
12,1370000000,0,0,0,0,0,0,0,0.666667,0,0,1370000000,1030704.889,117677.3333,0,1370000000,0,3
13,1370000000,0,0,0,0,0,0,0,0,0.2,0,1370000000,143000000,258513.6,6,1370000000,0,5
12,1370000000,0,0,0,0,0,0,0,0,0,0,1370000000,0,249917,1,1370000000,0,1
12,1370000000,0,0,0,0,0,0,0,0,0,0,1370000000,0,282389,0,1370000000,0,1
2,1370000000,0,0,0,0,0,0,0,0,0,1,1370000000,0,265268,0,1370000000,0,1
7,1370000000,0,0,1,1,0,0,0,0.111111,2,0,1370000000,1960000000,42365.44444,2,1370000000,0,9
17,1370000000,0,0,0,0,0,0,0,0.25,0.5,0,1370000000,848000000,29149.75,4,1370000000,0,4
2,1370000000,0,0,0,0,0,0,0,0,0,0,1370000000,0,350742,0,1370000000,0,1
12,1370000000,0,0,0,1,0,0,0,0,0,0,1370000000,0,164619,0,1370000000,0,1
12,1370000000,0,0,0,0,0,0,0,0,2,0,1370000000,0,293720,0,1370000000,0,1
12,1370000000,0,0,0,0,0,0,0,0,2.5,0,1370000000,837225,821617,0,1370000000,0,2
18,1370000000,0,0,0,0,0,0,0,0,0.333333,0,1370000000,17900000000,163973.3333,2,1370000000,0,3
9,1370000000,0,0,1,0,0,0,0,0,0.428571,0.142857,1370000000,120000000000,143269,14,1370000000,0,7
2,1370000000,0,0,0,0,0,0,0,1.571429,0.571429,0,1370000000,890000000,29269.28571,14,1370000000,0,7
18,1370000000,0,0,0,0,1,0,0,0.4,0.4,0,1370000000,96900000000,176117.2,2,1370000000,0,5
2,1370000000,0,0,0,0,0,0,0,0,0,0,1370000000,11700000,283230,3,1370000000,0,3
2,1370000000,0,0,0,0,0,0,0,0.5,0,0,1370000000,357000000,18893,1,1370000000,0,2
12,1370000000,0,0,0,0,0,0,0,0,0,0,1370000000,0,124699,0,1370000000,0,1
2,1370000000,0,0,0,0,0,0,0,0,0,0,1370000000,0,190233,-4,1370000000,0,1
18,1370000000,0,0,0,0,0,0,0.037037,0.148148,0.555556,0.481481,1370000000,29900000000,111651.6667,114,1370000000,0,27
7,1370000000,0,0,1,0,1,1,0,0,4.5,0,1370000000,14641,44213,2,1370000000,0,2
12,1370000000,0,0,0,0,0,0,0,0,1,0,1370000000,0,44658,0,1370000000,0,1
3,1370000000,0,0,1,0,0,1,0,0,3.25,0,1370000000,87400000,37311,0,1370000000,0,4
12,1370000000,0,0,0,0,0,0,0,0,0,0,1370000000,368353.25,254939.5,0,1370000000,0,4
16,1370000000,0,0,0,0,0,0,0,0,0,0,1370000000,0,126998,0,1370000000,0,1
12,1370000000,0,0,0,0,0,0,0,0,0,0,1370000000,0,200100,0,1370000000,0,1
7,1370000000,0,0,1,0,1,0,0,0,2,1,1370000000,0,263867,0,1370000000,0,1
12,1370000000,0,0,0,0,0,0,0,0,0.5,0,1370000000,781456,278263,0,1370000000,0,2
13,1370000000,0,0,0,0,0,0,0,0,0,0,1370000000,0,188327,0,1370000000,0,1
12,1370000000,0,0,0,0,0,0,0,0,0,0,1370000000,30400000,270277,0,1370000000,0,2
2,1370000000,0,0,0,0,0,0,0,0,0.48,0.08,1370000000,22200000000,124387.52,-2,1370000000,0,25
2,1370000000,0,0,0,0,0,0,0,0,0.285714,0.142857,1370000000,2210000000,46970.85714,4,1370000000,0,7
2,1370000000,0,0,0,0,0,0,0,0,2,0,1370000000,0,367527,11,1370000000,0,1
2,1370000000,0,0,0,1,1,0,0,0,1.5,0,1370000000,5659641,52580,0,1370000000,0,2
3,1370000000,0,0,1,0,0,0,0,0.5,0.5,0,1370000000,51200000000,162509,0,1370000000,0,2
13,1370000000,0,0,0,0,0,0,0,0.75,0.75,0,1370000000,3830000000,251201.5,5,1370000000,0,4
2,1370000000,0,0,0,0,0,0,0,0,0,0,1370000000,0,97748,1,1370000000,0,1
12,1370000000,0,0,0,0,0,0,0,0,0,0,1370000000,0,201796,0,1370000000,0,1
12,1370000000,0,0,0,0,0,0,0,0,1,0,1370000000,0,269434,1,1370000000,0,1
12,1370000000,0,0,0,0,0,0,0,0,0,0,1370000000,0,262808,0,1370000000,0,1
2,1370000000,0,0,0,0,0,0,0,0.25,0.5,0,1370000000,247000000000,124467.75,6,1370000000,0,4
2,1370000000,0,0,0,0,0,0,0,0,0,0,1370000000,28000000,290744,0,1370000000,0,2
12,1370000000,0,0,0,0,0,0,0,0,0,0,1370000000,0,259402,0,1370000000,0,1
7,1370000000,0,0,1,0,0,0,0,0,0.333333,0.333333,1370000000,795000000,35681.33333,1,1370000000,0,3
12,1370000000,0,0,0,0,0,0,0,0,1,0,1370000000,26732.25,327653.5,0,1370000000,0,2
9,1370000000,0,0,1,0,0,0,0,0.666667,1.666667,2,1370000000,184000000000,236203.3333,0,1370000000,0,3
14,1370000000,0,0,0,0,0,1,0,0.166667,0.666667,0,1370000000,2740000000,83836.16667,0,1370000000,0,6
2,1370000000,0,0,0,0,0,0,0,0,0,0,1370000000,289,111954,0,1370000000,0,2
13,1370000000,0,0,0,0,0,0,0,0,0,0.333333,1370000000,18700000000,160803,2,1370000000,0,3
2,1370000000,0,0,0,0,0,0,0,0.181818,0.272727,0,1370000000,6720000000,286754,13,1370000000,0,11
2,1370000000,0,0,0,1,0,0,0,0,0,1,1370000000,0,257572,0,1370000000,0,1
2,1370000000,0,0,0,0,0,0,0,0,1,0,1370000000,0,4625,0,1370000000,0,1
12,1370000000,0,0,0,0,0,0,0,0,0,0,1370000000,0,169160,0,1370000000,0,1
15,1370000000,0,0,0,0,0,0,1,0,3,2,1370000000,0,79440,0,1370000000,0,1
12,1370000000,0,0,0,0,0,0,0,0,2,0,1370000000,0,271609,0,1370000000,0,1
12,1370000000,0,0,0,0,0,0,0,0,0,0,1370000000,0,28288,0,1370000000,0,1
2,1370000000,0,0,0,0,0,0,0,1,0,0,1370000000,13400000,139290,1,1370000000,0,2
