@relation GHC_correctFormat_20-weka.filters.unsupervised.attribute.NumericToNominal-R18

@attribute v0 numeric
@attribute v1 numeric
@attribute v2 numeric
@attribute v3 numeric
@attribute v4 numeric
@attribute v5 numeric
@attribute v6 numeric
@attribute v7 numeric
@attribute v8 numeric
@attribute v9 numeric
@attribute v10 numeric
@attribute v11 numeric
@attribute v12 numeric
@attribute v13 numeric
@attribute v14 numeric
@attribute v15 numeric
@attribute v16 numeric
@attribute v17 {0,1}
@attribute v18 numeric

@data
13,1366606976,0,0,0,1,0,0,0.166667,0.333333,0.5,0,1370000000,1410000000,258381.6667,12,1370000000,0,6
15,1367859531,0,0,0,0,0,0,0,0,0,0,1370000000,10200000000,128440.8333,6,1370000000,0,6
16,1368470962,0,0,0,0,0,0,0,0,1.5,0,1370000000,138000000,107639,2,1370000000,0,2
12,1366682070,0,0,0,0,0,0,0,0,0,0,1370000000,0,284561,0,1370000000,0,1
14,1367117664,0,0,0,0,0,0,0,0,0,0,1370000000,0,44293,0,1370000000,0,1
14,1367279315,0,0,0,1,0,0,0,0.5,1,0,1370000000,916667.6875,23741.75,3,1370000000,0,4
12,1369478212,0,0,0,0,0,0,0,0,0,0,1370000000,0,148928,0,1370000000,0,1
2,1366807524,0,0,0,0,0,0,0,0,0,0,1370000000,0,265846,0,1370000000,0,1
12,1366528399,0,0,0,0,0,0,0,0,0,0,1370000000,0,130890,0,1370000000,0,1
12,1369161413,0,0,0,0,0,0,0,0,0,0,1370000000,4690000000,224638.3333,0,1370000000,0,3
9,1368657437,0,0,1,0,0,0,0,0,0,1,1370000000,0,67097,0,1370000000,1,1
2,1368245033,0,0,0,1,1,0,0,0,1,0,1370000000,0,345307,2,1370000000,0,1
2,1366662425,0,0,0,1,0,0,0,0,0.5,0,1370000000,73984,265188,0,1370000000,0,2
12,1369097570,0,0,0,0,0,0,0,0,0,0,1370000000,15400000,79154,0,1370000000,0,2
7,1366565208,0,0,1,1,1,0,0,0.5,3,0,1370000000,781126.25,168399.5,3,1370000000,0,4
12,1366657233,0,0,0,1,0,0,0,0,0,0,1370000000,0,259724,0,1370000000,0,1
2,1368306995,0,0,0,0,0,0,0,0,2.25,0,1370000000,121000000000,211890,0,1370000000,0,4
2,1370467531,0,0,0,0,0,0,0,0,0,0,1370000000,0,235591,0,1370000000,0,1
12,1366626018,0,0,0,0,0,0,0,0,0,0,1370000000,36900000,234579.5,3,1370000000,0,2
13,1366640242,0,0,0,1,0,0,0,0,0,0,1370000000,2280000000,302798.75,5,1370000000,0,4
17,1368893567,0,0,0,0,0,0,0,0,2,0,1370000000,0,128773,3,1370000000,0,1
2,1367179881,0,0,0,1,0,0,0,0.5,1,0.5,1370000000,1281424,26927,0,1370000000,0,2
12,1366658555,0,0,0,0,0,0,0,0,0,0,1370000000,1722.25,261087.5,0,1370000000,0,2
18,1369862962,0,0,0,0,1,0,0,0,2.5,0,1370000000,229920.25,149901.5,0,1370000000,1,2
12,1366541807,0,0,0,0,0,0,0,0,0,0,1370000000,0,144298,1,1370000000,0,1
12,1366665914,0,0,0,0,0,0,0,0,0,0,1370000000,0,268405,1,1370000000,0,1
7,1367235243,0,0,1,0,0,0,0,0,3.5,0.5,1370000000,12700000,18262.5,2,1370000000,1,2
2,1368943391,0,0,0,0,0,0,0,0,0,0,1370000000,1250000000,31876,2,1370000000,0,3
12,1366540622,0,0,0,0,0,0,0,0,0,0,1370000000,0,143113,0,1370000000,0,1
7,1368783612,0,0,1,1,0,0,0,0,1,0,1370000000,0,193272,0,1370000000,0,1
12,1366577356,0,0,0,0,0,0,0,0,0,0,1370000000,0,179847,0,1370000000,0,1
13,1366766228,0,0,0,0,1,0,0,0.333333,0.555556,0,1370000000,3460000000,200374.8889,14,1370000000,0,9
12,1366509188,0,0,0,0,0,0,0,0,0,0,1370000000,0,111679,0,1370000000,0,1
2,1370477035,1,0,0,0,0,0,0,0.5,0.5,0,1370000000,16600000,249168,0,1370000000,0,2
12,1366825290,0,0,0,0,0,0,0,0,0,0,1370000000,0,248080,0,1370000000,0,1
12,1366549305,0,0,0,0,0,0,0,0,0,0,1370000000,0,151796,0,1370000000,0,1
7,1368246859,0,0,1,1,0,0,0,0,0,0,1370000000,0,343481,-2,1370000000,0,1
13,1367577819,0,0,0,0,0,0,0,0.526316,0.157895,0,1370000000,374000000000,160564.7895,11,1370000000,0,19
2,1367432249,0,0,0,0,0,0,0,1,0,0,1370000000,8260000000,186955,-1,1370000000,0,2
4,1369823048,0,0,0,1,0,0,0.025,1.3,0.275,0.025,1370000000,141000000000,149804.5,136,1370000000,0,40
2,1366612284,0,0,0,0,1,0,0,0,0.666667,0,1370000000,459000000,243524,1,1370000000,0,3
12,1367724287,0,0,0,0,0,0,0,0.4,0,0,1370000000,54100000000,195434.8,0,1370000000,0,5
