@relation WCR_80_upsampled-weka.filters.unsupervised.attribute.NumericToNominal-R18

@attribute v0 numeric
@attribute v1 numeric
@attribute v2 numeric
@attribute v3 numeric
@attribute v4 numeric
@attribute v5 numeric
@attribute v6 numeric
@attribute v7 numeric
@attribute v8 numeric
@attribute v9 numeric
@attribute v10 numeric
@attribute v11 numeric
@attribute v12 numeric
@attribute v13 numeric
@attribute v14 numeric
@attribute v15 numeric
@attribute v16 numeric
@attribute v17 {0,1}
@attribute v18 numeric

@data
15,1360000000,0,0,0,0,0,0,0,0.25,0.125,0.375,1360000000,1830000000000,39637.25,7,1370000000,0,8
15,1360000000,0,0,0,0,0,0,0,0,0,0,1360000000,0,182353,0,1360000000,0,1
7,1360000000,0,0,1,1,1,0,0.5,0.25,1.5,0.5,1370000000,206000000000,118089.25,2,1370000000,0,4
15,1360000000,0,0,0,0,0,0,0,0,0,0,1360000000,0,210668,1,1360000000,0,1
15,1360000000,0,0,0,0,0,0,0,0,0,1,1360000000,0,205842,0,1360000000,0,1
4,1370000000,0,0,0,0,0,0,0,0,0,0,1370000000,0,346325,1,1370000000,0,1
3,1360000000,0,0,1,0,0,0,0,0.333333,1.333333,0,1360000000,228000000,144844.3333,4,1360000000,0,3
15,1360000000,0,0,0,0,0,0,0,0,0,0.166667,1360000000,4390000000,155228.1667,0,1360000000,0,6
3,1360000000,0,0,1,0,0,1,0.166667,0.333333,4.166667,0.333333,1360000000,1690000000,385529.6667,0,1360000000,0,6
15,1360000000,0,0,0,0,0,0,0,0,0,0,1360000000,0,70516,0,1360000000,0,1
14,1360000000,0,0,0,0,0,0,0,0,0,0,1360000000,2530000000,48609.66667,3,1360000000,0,3
23,1360000000,0,0,0,0,0,0,0,0,0.25,0,1360000000,858000000,502537.25,8,1360000000,0,4
9,1360000000,0,0,0,0,0,0,0,0,0.6,0.4,1360000000,394000000,191569.4,6,1360000000,0,5
13,1360000000,0,0,0,0,0,0,0,0,1,0,1360000000,3660.25,249571.5,1,1360000000,0,2
7,1370000000,0,0,1,0,0,1,0,0,0,1,1370000000,0,174244,0,1370000000,0,1
