@relation WCR_correctFormat_20-weka.filters.unsupervised.attribute.NumericToNominal-R18

@attribute v0 numeric
@attribute v1 numeric
@attribute v2 numeric
@attribute v3 numeric
@attribute v4 numeric
@attribute v5 numeric
@attribute v6 numeric
@attribute v7 numeric
@attribute v8 numeric
@attribute v9 numeric
@attribute v10 numeric
@attribute v11 numeric
@attribute v12 numeric
@attribute v13 numeric
@attribute v14 numeric
@attribute v15 numeric
@attribute v16 numeric
@attribute v17 {0,1}
@attribute v18 numeric

@data
15,1361804084,0,0,0,0,0,0,0,0,0,0,1360000000,0,186569,0,1360000000,0,1
15,1364228449,0,0,0,0,0,0,0,0.166667,0,0,1360000000,2730000000,59130.66667,3,1360000000,0,6
13,1362021818,0,0,0,0,0,0,0,0,0,0,1360000000,0,31165,0,1360000000,0,1
15,1361812750,0,0,0,0,0,0,0,0,0,0,1360000000,0,177903,0,1360000000,0,1
23,1362545330,0,0,0,0,0,0,0,0,0.25,0.5,1360000000,236000000,495507.5,13,1360000000,0,4
20,1362968923,0,0,0,0,0,0,0,0,0,0,1360000000,0,91817,4,1360000000,0,1
13,1365562191,0,0,0,1,0,0,0,0,0.25,0,1370000000,496000000,142068,8,1370000000,0,4
4,1366301378,0,0,0,0,0,0,0,0,0,0,1370000000,0,216638,1,1370000000,0,1
13,1365451384,0,0,0,0,0,0,0,0,0.071429,0.142857,1370000000,78500000000,233555.1429,13,1370000000,0,14
4,1361808007,0,0,0,0,0,0,0,0,0.25,0,1360000000,93600000000,305549.25,0,1360000000,0,4
13,1364447643,0,0,0,0,0,0,0,0,0,0,1360000000,15700000000,268574,0,1360000000,0,6
20,1361793086,0,0,0,0,0,0,0,0.095238,0.190476,0,1360000000,41700000000,183921.6667,46,1360000000,0,21
32,1365028836,0,0,0,1,0,0,0,0,1,0,1370000000,106000000000,14599.66667,4,1370000000,0,3
32,1365076723,0,0,0,0,1,0,0,0.666667,0,2.333333,1370000000,2120000000,63175.66667,5,1370000000,0,3
15,1361819757,0,0,0,0,0,0,0,0,0,0,1360000000,0,170896,0,1360000000,0,1
15,1361865018,0,0,0,0,0,0,0,0.166667,0,0.166667,1360000000,12900000000,124984.6667,2,1360000000,0,6
14,1362092257,0,0,0,0,0,1,0.142857,0,0.714286,0.285714,1360000000,3610000000,167869.1429,0,1360000000,0,7
4,1362209850,0,0,0,0,0,0,0,0,0,0,1360000000,0,219197,0,1360000000,0,1
7,1361890154,0,0,1,0,0,1,0,0,2,1,1360000000,0,100499,0,1360000000,0,1
38,1368012380,0,0,0,0,0,0,0,0,0.5,0,1370000000,2220000000,400757.5,6,1370000000,0,4
13,1363300590,0,0,0,0,0,0,0,0.5,0,0,1360000000,1290000000,102968,2,1360000000,0,2
15,1362241694,0,0,0,0,0,0,0,0,0,0,1360000000,9010000000,345960.5,1,1360000000,0,2
15,1361998548,0,0,0,0,0,0,0,0,0,0,1360000000,0,7895,0,1360000000,0,1
32,1364927454,0,0,0,0,0,0,0,0,0,0,1360000000,0,120486,0,1360000000,0,1
13,1363032966,0,0,0,0,0,0,0,0,0,0,1360000000,0,27774,4,1360000000,1,1
23,1363168419,0,0,0,0,0,0,0,0.230769,0.461538,0,1360000000,566000000000,131403.8462,20,1360000000,0,13
3,1363729662,0,0,1,0,0,0,0.833333,0.166667,1.333333,0,1360000000,18800000,274766.8333,0,1360000000,1,6
22,1364866345,0,0,0,0,0,0,0,0.125,0.625,0.375,1360000000,515000000,156369.75,6,1360000000,0,8
13,1365169233,0,0,0,0,0,0,0,0.2,0,0,1370000000,160000000000,137287.8,8,1370000000,0,5
9,1361771366,0,0,0,0,1,0,0,0,0.5,0.5,1360000000,27722.25,219120.5,-7,1360000000,0,2
15,1361914816,0,0,0,0,0,0,0,0,0.666667,0,1360000000,1525180.667,74796,0,1360000000,0,3
13,1364450454,0,0,0,0,0,0,0,0,0.285714,0,1360000000,4330000000,262784.5714,13,1360000000,0,7
22,1368073327,0,0,0,0,1,0,0,0,0.666667,1,1370000000,371000000,373596,1,1370000000,0,3
13,1362685836,0,0,0,0,0,0,0.086957,0.086957,4,0.086957,1360000000,53500000000,229414.8261,41,1360000000,0,23
13,1362143192,0,0,0,0,0,0,0,0,1,0,1360000000,324000000,181703.5,1,1360000000,0,6
25,1363259048,0,0,0,0,0,0,0,0.5,0.5,0,1360000000,1290000000,65453.5,3,1360000000,0,4
15,1361963455,0,0,0,0,0,0,0,0,0,0,1360000000,0,27198,0,1360000000,0,1
17,1365864146,0,0,0,0,0,0,0,0,0,0,1370000000,0,125006,1,1370000000,1,1
15,1362567373,0,0,0,0,0,0,0,0,0,1,1360000000,367000000,474222,1,1360000000,0,2
13,1365457159,0,0,0,0,0,0,0,0,1,0,1370000000,0,281981,2,1370000000,0,1
14,1362800656,0,0,0,0,0,0,0,0.5,0,0,1360000000,6700000000,178243.5,1,1360000000,0,2
7,1364516446,0,0,1,0,0,1,0,0.272727,3.272727,0,1360000000,6120000000,326766,5,1360000000,0,11
3,1363014872,0,0,0,0,0,0,0,0.5,1,0,1360000000,2500,45818,0,1360000000,0,2
22,1365555227,0,0,0,0,0,0,1,0,14,3,1370000000,0,183913,0,1370000000,1,1
13,1364335613,0,0,0,0,1,0,0,0,0,0,1360000000,0,65273,0,1360000000,0,1
13,1364698025,0,0,0,0,0,0,0,0.333333,0.333333,0,1360000000,9760000000,276940.3333,2,1360000000,0,3
13,1361943093,0,0,0,0,0,0,0,0,1,0,1360000000,262000000000,36397.66667,5,1360000000,0,3
14,1365738205,0,0,0,0,0,0,0,0,3,0,1370000000,0,935,0,1370000000,0,1
15,1361825561,0,0,0,0,0,0,0,0,0,0,1360000000,0,165092,0,1360000000,0,1
22,1367361259,0,0,0,1,1,0,0,0,1.666667,0,1370000000,3860000000,68623.66667,1,1370000000,0,3
13,1365552561,0,0,0,0,0,0,0,0.5,0,0,1370000000,46400000000,72925,3,1370000000,0,4
9,1362446156,0,0,0,0,1,0,0,0,1,0.5,1360000000,222000000,470394.5,1,1360000000,1,2
3,1364341435,0,0,1,0,0,0,0,0.416667,1,0.083333,1360000000,108000000000,126742.8333,23,1370000000,0,12
32,1365783646,0,0,0,0,0,0,0,0,2,0,1370000000,3025,44561,0,1370000000,0,2
13,1363615325,0,0,0,0,0,0,0,0,6,1,1360000000,0,381785,5,1360000000,0,1
15,1362380090,0,0,0,0,0,0,0,0,0,0,1360000000,0,389437,0,1360000000,0,1
