 forum_id, posted_time, deleted, approved, unresolved, anonymous, title_has_lecture, title_has_quiz_assignment_grade_project, posts_count_request, posts_count_thanks, posts_countLogistics, posts_count_problems, meanposttimes, varposttimes, meanDiffFromLandmarks, numStudentOnlyPostsVotes, last_updated_time_StudentPostsOnly,instructor_replied, numStudentPostsOnly
4,1361768987,0,0,0,0,0,0,0,0,0,0,1.36E+09,5.30E+10,237962.4444,-8,1.36E+09,0,9
15,1361769752,0,0,0,0,0,0,0,0.034749035,0.115830116,0.007722008,1.36E+09,1.32E+11,182687.2664,313,1.37E+09,0,259
15,1361770390,0,0,0,0,0,0,0,0,0,0,1.36E+09,7.66E+07,211394,3,1.36E+09,0,3
15,1361770623,0,0,0,0,0,0,0,0,0,0,1.36E+09,3.41E+09,176013.3333,0,1.36E+09,0,3
15,1361770654,0,0,0,0,0,0,0,0.25,0,0,1.36E+09,2.57E+10,162914.5,6,1.36E+09,0,4
9,1361771366,0,0,0,0,1,0,0,0,0.5,0.5,1.36E+09,27722.25,219120.5,-7,1.36E+09,0,2
7,1361773951,0,0,1,0,0,0,0,0,0.9,0.4,1.36E+09,2.45E+10,173995.7,2,1.36E+09,0,10
15,1361774073,0,0,0,0,0,0,0,0,0,0,1.36E+09,0,216580,2,1.36E+09,0,1
9,1361774147,0,0,0,0,0,0,0,0,0.6,0.4,1.36E+09,3.94E+08,191569.4,6,1.36E+09,0,5
20,1361774901,0,0,0,0,0,0,0,0.133333333,0.133333333,0.133333333,1.36E+09,1.65E+09,183392.9333,28,1.36E+09,0,15
15,1361775906,0,0,0,0,0,0,0,0,0,0,1.36E+09,26928.66667,214571,1,1.36E+09,0,3
4,1361776244,0,0,0,0,0,0,0,0,0,0,1.36E+09,2.41E+11,188825.25,-2,1.36E+09,0,4
17,1361776952,0,0,0,0,0,0,0,0.5,0,0,1.36E+09,2.59E+09,155802.75,7,1.36E+09,1,4
15,1361777958,0,0,0,0,0,0,0,0,0,0,1.36E+09,1.21E+08,190705.6,5,1.36E+09,0,5
15,1361779226,0,0,0,0,0,0,0,0,0,0,1.36E+09,4.74E+07,196658.75,15,1.36E+09,0,8
